Wavelength,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12
400,0.354,0.459,0.139,0.335,0.231,0.249,0.245,0.452,0.205,0.507,0.258,0.447,0.036,0.046,0.048,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.588,0.599,0.23,0.351,0.287,0.463,0.153,0.438,0.287,0.271,0.132,0.5,0.236,0.469,0.045,0.045,0.046,0.045,0.045,0.045,0.046,0.045,0.045,0.045,0.422,0.592
404,0.346,0.452,0.137,0.329,0.226,0.245,0.24,0.446,0.213,0.548,0.27,0.466,0.036,0.046,0.047,0.045,0.044,0.045,0.045,0.044,0.044,0.045,0.607,0.62,0.224,0.34,0.279,0.456,0.149,0.431,0.279,0.266,0.139,0.521,0.251,0.489,0.045,0.045,0.046,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.438,0.618
408,0.337,0.443,0.134,0.322,0.221,0.242,0.234,0.439,0.221,0.588,0.282,0.484,0.035,0.045,0.047,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.625,0.641,0.218,0.329,0.269,0.449,0.145,0.425,0.272,0.26,0.146,0.542,0.267,0.509,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.045,0.044,0.045,0.452,0.643
412,0.33,0.433,0.13,0.315,0.216,0.24,0.229,0.433,0.23,0.628,0.295,0.502,0.035,0.045,0.046,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.643,0.662,0.212,0.319,0.26,0.442,0.142,0.419,0.265,0.256,0.152,0.562,0.282,0.528,0.044,0.044,0.045,0.044,0.044,0.044,0.045,0.044,0.044,0.044,0.465,0.668
416,0.323,0.427,0.129,0.31,0.213,0.238,0.226,0.428,0.24,0.672,0.309,0.522,0.035,0.045,0.046,0.044,0.044,0.044,0.044,0.044,0.044,0.044,0.663,0.684,0.208,0.311,0.254,0.436,0.139,0.415,0.26,0.253,0.161,0.585,0.3,0.549,0.044,0.044,0.045,0.044,0.044,0.044,0.045,0.044,0.044,0.044,0.482,0.694
420,0.316,0.421,0.128,0.306,0.209,0.235,0.221,0.422,0.251,0.718,0.324,0.544,0.035,0.044,0.046,0.043,0.043,0.043,0.043,0.043,0.043,0.043,0.688,0.71,0.205,0.305,0.249,0.429,0.136,0.408,0.255,0.25,0.17,0.61,0.32,0.573,0.044,0.043,0.044,0.044,0.043,0.043,0.044,0.043,0.043,0.043,0.503,0.724
424,0.311,0.416,0.128,0.303,0.206,0.232,0.217,0.417,0.264,0.77,0.341,0.57,0.035,0.044,0.045,0.043,0.043,0.043,0.043,0.043,0.043,0.043,0.718,0.74,0.202,0.3,0.246,0.423,0.133,0.402,0.25,0.247,0.181,0.64,0.342,0.6,0.043,0.043,0.044,0.044,0.043,0.043,0.044,0.043,0.043,0.043,0.529,0.76
428,0.307,0.411,0.128,0.299,0.204,0.229,0.213,0.413,0.277,0.825,0.36,0.599,0.035,0.044,0.045,0.043,0.043,0.043,0.043,0.043,0.043,0.043,0.751,0.774,0.2,0.295,0.244,0.418,0.131,0.397,0.246,0.244,0.191,0.67,0.363,0.629,0.043,0.043,0.044,0.043,0.043,0.043,0.044,0.043,0.043,0.043,0.556,0.797
432,0.302,0.403,0.125,0.293,0.201,0.226,0.21,0.408,0.289,0.875,0.377,0.625,0.035,0.044,0.045,0.043,0.043,0.043,0.043,0.043,0.043,0.043,0.78,0.805,0.197,0.289,0.239,0.412,0.129,0.391,0.242,0.24,0.198,0.696,0.381,0.655,0.043,0.043,0.044,0.043,0.043,0.043,0.044,0.043,0.043,0.043,0.576,0.829
436,0.298,0.396,0.122,0.287,0.199,0.223,0.206,0.403,0.296,0.907,0.388,0.641,0.034,0.043,0.045,0.042,0.042,0.043,0.042,0.042,0.042,0.043,0.797,0.825,0.194,0.284,0.234,0.405,0.127,0.386,0.239,0.237,0.202,0.71,0.391,0.67,0.043,0.043,0.043,0.043,0.043,0.043,0.043,0.043,0.043,0.043,0.587,0.847
